# ESPN Live Draft Trends — raw average live-draft salary, ESPN $200 auction (imported 2026-08-15)
name,position,team,value
D'Andre Swift,RB,CHI,8
David Montgomery,RB,HOU,8
Jadarian Price,RB,SEA,8
Luther Burden III,WR,CHI,8
Rome Odunze,WR,CHI,8
TreVeyon Henderson,RB,NE,8
Kyle Pitts Sr.,TE,ATL,6
Sam LaPorta,TE,DET,6
Brandon Aubrey,K,DAL,5
Courtland Sutton,WR,DEN,5
Dak Prescott,QB,DAL,5
DK Metcalf,WR,PIT,5
Harold Fannin Jr.,TE,CLE,5
Jaxson Dart,QB,NYG,5
Marvin Harrison Jr.,WR,ARI,5
Matthew Stafford,QB,LAR,5
Tony Pollard,RB,TEN,5
Alec Pierce,WR,IND,4
Bo Nix,QB,DEN,4
Caleb Williams,QB,CHI,4
HOU Defense,DEF,HOU,4
Jordyn Tyson,WR,NO,4
LAR Defense,DEF,LAR,4
Michael Pittman Jr.,WR,PIT,4
Mike Evans,WR,SF,4
Patrick Mahomes,QB,KC,4
Trevor Lawrence,QB,JAX,4
Brian Thomas Jr.,WR,JAX,3
Brock Purdy,QB,SF,3
Christian Watson,WR,GB,3
DEN Defense,DEF,DEN,3
George Kittle,TE,SF,3
Jaylen Warren,RB,PIT,3
Justin Herbert,QB,LAC,3
Michael Wilson,WR,ARI,3
Parker Washington,WR,JAX,3
Tucker Kraft,TE,GB,3
Aaron Jones Sr.,RB,MIN,2
Cameron Dicker,K,LAC,2
Chuba Hubbard,RB,CAR,2
Dallas Goedert,TE,PHI,2
J.K. Dobbins,RB,DEN,2
Jake Ferguson,TE,DAL,2
Jakobi Meyers,WR,JAX,2
Jared Goff,QB,DET,2
Jason Myers,K,SEA,2
Jonathon Brooks,RB,CAR,2
Jordan Addison,WR,MIN,2
Josh Downs,WR,IND,2
Kenny Gainwell,RB,TB,2
Makai Lemon,WR,PHI,2
Matthew Golden,WR,GB,2
Rhamondre Stevenson,RB,NE,2
Rico Dowdle,RB,PIT,2
SEA Defense,DEF,SEA,2
Stefon Diggs,WR,WAS,2
Travis Hunter,WR,JAX,2
Travis Kelce,TE,KC,2
Wan'Dale Robinson,WR,TEN,2
Aaron Rodgers,QB,PIT,1
Adonai Mitchell,WR,NYJ,1
AJ Barner,TE,SEA,1
Alvin Kamara,RB,NO,1
Baker Mayfield,QB,TB,1
BAL Defense,DEF,BAL,1
Blake Corum,RB,LAR,1
Brenton Strange,TE,JAX,1
Brian Robinson Jr.,RB,ATL,1
Bryce Young,QB,CAR,1
BUF Defense,DEF,BUF,1
C.J. Stroud,QB,HOU,1
Cairo Santos,K,CHI,1
Calvin Ridley,WR,TEN,1
Cam Little,K,JAX,1
Cam Ward,QB,TEN,1
CAR Defense,DEF,CAR,1
Chase McLaughlin,K,TB,1
CHI Defense,DEF,CHI,1
Chig Okonkwo,TE,WAS,1
Chris Boswell,K,PIT,1
Chris Godwin Jr.,WR,TB,1
Chris Rodriguez Jr.,RB,JAX,1
CLE Defense,DEF,CLE,1
Cooper Kupp,WR,SEA,1
Cyrus Allen,WR,KC,1
DAL Defense,DEF,DAL,1
Dalton Kincaid,TE,BUF,1
Dalton Schultz,TE,HOU,1
Daniel Jones,QB,IND,1
De'Zhaun Stribling,WR,SF,1
Deebo Samuel Sr.,WR,SF,1
Denzel Boston,WR,CLE,1
DET Defense,DEF,DET,1
Eddy Pineiro,K,SF,1
Evan McPherson,K,CIN,1
Fernando Mendoza,QB,LV,1
GB Defense,DEF,GB,1
Harrison Butker,K,KC,1
Harrison Mevis,K,LAR,1
Hunter Henry,TE,NE,1
Isaiah Likely,TE,NYG,1
Isiah Pacheco,RB,DET,1
J.J. McCarthy,QB,MIN,1
Ja'Kobi Lane,WR,BAL,1
Jacory Croskey-Merritt,RB,WAS,1
Jake Bates,K,DET,1
Jake Elliott,K,PHI,1
Jalen Coker,WR,CAR,1
Jalen McMillan,WR,TB,1
JAX Defense,DEF,JAX,1
Jayden Higgins,WR,HOU,1
Jayden Reed,WR,GB,1
Jerry Jeudy,WR,CLE,1
Jordan Love,QB,GB,1
Jordan Mason,RB,MIN,1
Juwan Johnson,TE,NO,1
Ka'imi Fairbairn,K,HOU,1
KC Concepcion,WR,CLE,1
KC Defense,DEF,KC,1
Kenyon Sadiq,TE,NYJ,1
Khalil Shakir,WR,BUF,1
Kyle Monangai,RB,CHI,1
Kyler Murray,QB,MIN,1
LAC Defense,DEF,LAC,1
Malik Willis,QB,MIA,1
Mark Andrews,TE,BAL,1
MIN Defense,DEF,MIN,1
NE Defense,DEF,NE,1
Oronde Gadsden,TE,LAC,1
Pat Freiermuth,TE,PIT,1
PHI Defense,DEF,PHI,1
PIT Defense,DEF,PIT,1
Quentin Johnston,WR,LAC,1
Rachaad White,RB,WAS,1
Rashid Shaheed,WR,SEA,1
RJ Harvey,RB,DEN,1
Romeo Doubs,WR,NE,1
Sam Darnold,QB,SEA,1
SF Defense,DEF,SF,1
Shedeur Sanders,QB,CLE,1
T.J. Hockenson,TE,MIN,1
Tank Bigsby,RB,PHI,1
Tank Dell,WR,HOU,1
TB Defense,DEF,TB,1
Terrance Ferguson,TE,LAR,1
Tre Tucker,WR,LV,1
Trey Smack,K,GB,1
Tyjae Spears,RB,TEN,1
Tyler Allgeier,RB,ARI,1
Tyler Loop,K,BAL,1
Tyler Shough,QB,NO,1
Tyrone Tracy Jr.,RB,NYG,1
Wil Lutz,K,DEN,1
Will Reichard,K,MIN,1
Woody Marks,RB,HOU,1
Xavier Worthy,WR,KC,1
Zach Charbonnet,RB,SEA,1
